ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0455090-AA-001,CYP3A4,4,0,none
OCNT-0455094-AA-001,CYP2J2,4,0,none
OCNT-0455094-AA-001,CYP3A4,4,4,full
OCNT-0455100-AA-001,CYP2J2,4,0,none
OCNT-0455100-AA-001,CYP3A4,4,4,full
OCNT-0455102-AA-001,CYP2J2,4,0,none
OCNT-0455102-AA-001,CYP3A4,4,4,full
OCNT-0455112-AA-001,CYP2J2,4,0,none
OCNT-0455112-AA-001,CYP3A4,4,0,none
OCNT-0455116-AA-001,CYP2J2,4,0,none
OCNT-0455116-AA-001,CYP3A4,4,4,full
OCNT-0455118-AA-001,CYP2J2,4,0,none
OCNT-0455118-AA-001,CYP3A4,3,2,partial
OCNT-0455120-AA-001,CYP2J2,4,0,none
OCNT-0455120-AA-001,CYP3A4,4,0,none
OCNT-0455122-AA-001,CYP2J2,4,0,none
OCNT-0455122-AA-001,CYP3A4,4,0,none
OCNT-0455126-AA-001,CYP2J2,4,0,none
OCNT-0455126-AA-001,CYP3A4,4,3,partial
OCNT-0455834-AA-001,CYP2J2,4,0,none
OCNT-0455834-AA-001,CYP3A4,4,2,partial
OCNT-0455853-AA-001,CYP2J2,4,0,none
OCNT-0455853-AA-001,CYP3A4,4,0,none
OCNT-0455855-AA-001,CYP2J2,4,0,none
OCNT-0455855-AA-001,CYP3A4,4,0,none
OCNT-0455861-AA-001,CYP2J2,4,0,none
OCNT-0455861-AA-001,CYP3A4,4,4,full
OCNT-0455932-AA-001,CYP2J2,4,0,none
OCNT-0455932-AA-001,CYP3A4,4,0,none
OCNT-0455940-AA-001,CYP2J2,4,0,none
OCNT-0455940-AA-001,CYP3A4,4,2,partial
OCNT-0455964-AA-001,CYP2J2,4,0,none
OCNT-0455964-AA-001,CYP3A4,4,0,none
OCNT-0455988-AA-001,CYP2J2,4,0,none
OCNT-0455988-AA-001,CYP3A4,4,3,partial
OCNT-0455990-AA-001,CYP2J2,4,2,partial
OCNT-0455990-AA-001,CYP3A4,4,0,none
OCNT-0456008-AA-001,CYP2J2,4,4,full
OCNT-0456008-AA-001,CYP3A4,4,0,none
OCNT-0456010-AA-001,CYP2J2,4,0,none
OCNT-0456010-AA-001,CYP3A4,4,0,none
OCNT-0456012-AA-001,CYP2J2,4,0,none
OCNT-0456012-AA-001,CYP3A4,4,0,none
OCNT-0456014-AA-001,CYP2J2,4,0,none
OCNT-0456014-AA-001,CYP3A4,4,0,none
OCNT-0456022-AA-001,CYP2J2,4,0,none
OCNT-0456022-AA-001,CYP3A4,4,0,none
OCNT-0456054-AA-001,CYP2J2,4,0,none
OCNT-0456054-AA-001,CYP3A4,4,0,none
OCNT-0456072-AA-001,CYP2J2,4,0,none
OCNT-0456072-AA-001,CYP3A4,4,0,none
OCNT-0456140-AA-001,CYP2J2,4,0,none
OCNT-0456140-AA-001,CYP3A4,3,2,partial
OCNT-0456142-AA-001,CYP2J2,4,0,none
OCNT-0456142-AA-001,CYP3A4,3,3,full
OCNT-0456144-AA-001,CYP2J2,4,0,none
OCNT-0456144-AA-001,CYP3A4,4,0,none
OCNT-0456158-AA-001,CYP2J2,4,0,none
OCNT-0456158-AA-001,CYP3A4,4,3,partial
OCNT-0456160-AA-001,CYP2J2,4,0,none
OCNT-0456160-AA-001,CYP3A4,4,3,partial
OCNT-0456162-AA-001,CYP2J2,4,0,none
OCNT-0456162-AA-001,CYP3A4,4,4,full
OCNT-0456166-AA-001,CYP2J2,4,4,full
OCNT-0456166-AA-001,CYP3A4,4,4,full
OCNT-0456180-AA-001,CYP2J2,4,0,none
OCNT-0456180-AA-001,CYP3A4,4,2,partial
OCNT-0456186-AA-001,CYP2J2,4,0,none
OCNT-0456186-AA-001,CYP3A4,4,0,none
OCNT-0456188-AA-001,CYP2J2,4,0,none
OCNT-0456188-AA-001,CYP3A4,4,4,full
OCNT-0456192-AA-001,CYP2J2,4,0,none
OCNT-0456192-AA-001,CYP3A4,4,4,full
OCNT-0456204-AA-001,CYP2J2,4,0,none
OCNT-0456204-AA-001,CYP3A4,4,4,full
OCNT-0456206-AA-001,CYP2J2,4,0,none
OCNT-0456206-AA-001,CYP3A4,4,0,none
OCNT-0456208-AA-001,CYP2J2,4,0,none
OCNT-0456208-AA-001,CYP3A4,4,0,none
OCNT-0456212-AA-001,CYP2J2,4,0,none
OCNT-0456212-AA-001,CYP3A4,4,0,none
OCNT-0456220-AA-001,CYP2J2,4,0,none
OCNT-0456220-AA-001,CYP3A4,4,0,none
OCNT-0456226-AA-001,CYP2J2,4,3,partial
OCNT-0456226-AA-001,CYP3A4,4,3,partial
OCNT-0456228-AA-001,CYP2J2,4,0,none
OCNT-0456228-AA-001,CYP3A4,4,4,full
OCNT-0456230-AA-001,CYP2J2,4,0,none
OCNT-0456230-AA-001,CYP3A4,4,4,full
OCNT-0456234-AA-001,CYP2J2,4,0,none
OCNT-0456234-AA-001,CYP3A4,4,0,none
OCNT-0456250-AA-001,CYP2J2,4,3,partial
OCNT-0456250-AA-001,CYP3A4,4,0,none
OCNT-0456252-AA-001,CYP2J2,4,0,none
OCNT-0456252-AA-001,CYP3A4,4,0,none
OCNT-0456282-AA-001,CYP2J2,4,0,none
OCNT-0456282-AA-001,CYP3A4,4,0,none
OCNT-0456289-AA-001,CYP2J2,4,0,none
OCNT-0456289-AA-001,CYP3A4,4,0,none
OCNT-0456298-AQ-001,CYP2J2,4,0,none
