ocnt_batch,CYP2J2,CYP3A4,CYP2J2_call,CYP3A4_call
OCNT-0456206-AA-001,-0.0248283412261817,-0.06385509439017,non-substrate,inconclusive
OCNT-0456208-AA-001,-0.0366019630303186,-0.3998024905149208,non-substrate,substrate
OCNT-0456212-AA-001,0.0288123874536481,-0.0113609818846369,non-substrate,non-substrate
OCNT-0456220-AA-001,0.0489377818120158,-0.6891618252096503,non-substrate,substrate
OCNT-0456226-AA-001,-3.4265556174802443,-3.506829610192008,substrate,substrate
OCNT-0456228-AA-001,-0.2987003988330448,-3.3870006953871155,substrate,substrate
OCNT-0456230-AA-001,-0.2652763840994658,-3.3680535833747074,substrate,substrate
OCNT-0456234-AA-001,0.0084398498710795,-2.628297228074047,non-substrate,substrate
OCNT-0456250-AA-001,-3.034108315626233,0.1335719303739727,substrate,non-substrate
OCNT-0456252-AA-001,-0.7395974883122177,-0.103205944988708,inconclusive,inconclusive
OCNT-0456282-AA-001,-0.0413541748569616,-1.3769356477812735,inconclusive,substrate
OCNT-0456289-AA-001,-0.0256485381492107,-0.1957619009529226,non-substrate,substrate
OCNT-0456298-AQ-001,0.0751839728964029,-0.8062267956445386,non-substrate,substrate
OCNT-0456304-AA-001,0.0556226047566151,-0.7749205401058875,non-substrate,substrate
OCNT-0456306-AA-001,0.0391465099420014,-3.514120404617297,non-substrate,substrate
OCNT-0456310-AA-001,-0.7674842080461992,-2.444015470058872,substrate,substrate
OCNT-0456312-AA-001,0.0332494412260891,-0.1937092961372734,non-substrate,substrate
OCNT-0456315-AA-001,0.059998501258389,-3.1084170393355928,non-substrate,substrate
OCNT-0456321-AA-001,0.0718809526647504,-0.6664205930312357,non-substrate,substrate
OCNT-0456328-AA-001,-0.3342446026878515,-3.4203580831175944,substrate,substrate
OCNT-0456349-AA-001,-0.0252275122266238,-0.3161041059945594,non-substrate,substrate
OCNT-0456376-AA-001,-0.0432278283005435,-0.4664284081965477,inconclusive,substrate
OCNT-0456378-AA-001,0.0391481519579031,-0.7513466711290061,non-substrate,substrate
OCNT-0456380-AA-001,-0.8046906192290412,-1.012462610913949,substrate,substrate
OCNT-0456384-AA-001,-0.1259778759587578,-1.5372698790778492,inconclusive,substrate
OCNT-0456386-AA-001,-0.0686336943880973,-1.0055186431029712,inconclusive,substrate
OCNT-0456388-AA-001,-0.2662699671079513,-1.9702295324146637,substrate,substrate
OCNT-0456473-AA-001,-0.0596277428315424,-2.8481399834895584,inconclusive,substrate
OCNT-0456479-AA-001,-0.0004665256192502,-3.133942254982015,non-substrate,substrate
OCNT-0456507-AA-001,-2.6480415748411508,-2.953390246667476,substrate,substrate
OCNT-0456571-AA-001,0.0219160450609331,-1.0462275805056402,non-substrate,substrate
OCNT-0456667-AA-001,-0.1887045450903961,-1.220036794224696,substrate,substrate
OCNT-0456671-AA-001,-0.5686990453443758,-3.924281518968438,substrate,substrate
OCNT-0456677-AA-001,-0.1639199038512417,-3.645705320180318,inconclusive,substrate
OCNT-0456679-AA-001,-0.065268303730362,-1.2007175371212817,inconclusive,substrate
OCNT-0456763-AA-001,-0.653549159653224,0.0546667371222537,substrate,non-substrate
OCNT-0456785-AA-001,-0.0570258141890556,-0.5309623494034643,inconclusive,inconclusive
OCNT-0456791-AA-001,-0.013444533128072,-0.5873332741658674,non-substrate,substrate
OCNT-0456809-AA-001,0.0197786808653551,-0.731794768306089,non-substrate,substrate
OCNT-0456810-AA-001,-0.0244453575230092,0.0179556691117355,inconclusive,inconclusive
OCNT-0456811-AA-001,0.0011071713588589,-0.3484184911169011,non-substrate,substrate
OCNT-0456812-AA-001,0.0378121721710801,0.0702240423701502,non-substrate,non-substrate
OCNT-0456813-AA-001,0.016499754262019,-3.1549721664655084,non-substrate,substrate
OCNT-0456815-AA-001,-0.0248361789777057,-0.5992861648619769,inconclusive,substrate
OCNT-0456864-AA-001,0.0009143758763915,-0.034820280269938,non-substrate,inconclusive
OCNT-0456866-AA-001,-0.0496583972034451,-0.1890304309510901,inconclusive,substrate
OCNT-0456890-AA-001,-0.1097881893578056,-0.4951252124163359,inconclusive,substrate
OCNT-0456894-AA-001,-0.0813305496759884,-1.1986893922046118,inconclusive,substrate
OCNT-0456896-AA-001,-0.7895099552099926,-3.271029255373582,substrate,substrate
OCNT-0456898-AA-001,-0.0871059533361584,-0.2310662550477911,inconclusive,substrate
OCNT-0456952-AA-001,-0.1027753805082506,-0.577342930435979,inconclusive,substrate
OCNT-0456954-AA-001,-0.0810992552164479,-0.3360898467267818,inconclusive,substrate
OCNT-0456958-AA-001,-0.022286115361704,-0.0312955049111283,non-substrate,inconclusive
OCNT-0456960-AA-001,0.0099546917306182,-2.1956242967856587,non-substrate,substrate
OCNT-0456962-AA-001,-0.0640437267741286,-0.252478512118301,inconclusive,substrate
OCNT-0456964-AA-001,-0.333566528670938,-0.71268897025068,substrate,substrate
OCNT-0456976-AA-001,-0.0624891823449517,-0.9900131815612592,inconclusive,substrate
OCNT-0456978-AA-001,-0.114220658213143,-2.3482978408278443,inconclusive,substrate
OCNT-0456984-AA-001,-0.0656696108093848,-0.3386132139313496,inconclusive,substrate
OCNT-0456986-AA-001,-0.3163608753240856,-2.1078879814375884,substrate,substrate
OCNT-0456988-AA-001,-0.1705865629316665,-0.920406700394258,substrate,substrate
OCNT-0456990-AA-001,-0.0755186719992426,-0.6849781213020756,inconclusive,substrate
OCNT-0457008-AA-001,0.024386245073422,-3.1044595491996745,non-substrate,substrate
OCNT-0457012-AA-001,-0.0529125535187249,-1.5174974174692903,non-substrate,substrate
OCNT-0457040-AA-001,-0.0412736903729173,-1.8997895925091175,inconclusive,substrate
OCNT-0457042-AA-001,-0.0069919956937228,-3.15355019756444,inconclusive,substrate
OCNT-0457077-AA-001,-0.1272391981374711,-0.9896748002818536,inconclusive,substrate
OCNT-0457081-AA-001,0.1381672558444951,-2.991373215668642,non-substrate,substrate
OCNT-0457204-AA-001,0.0569861379467168,-0.0727382389067535,non-substrate,inconclusive
OCNT-0457236-AA-001,0.0439887155172326,-0.0129607829263307,non-substrate,inconclusive
OCNT-0457347-AA-001,-0.0392166862828842,-3.0530255620967353,inconclusive,substrate
OCNT-0457413-AA-001,0.0343634876861572,-0.1537772578500384,non-substrate,substrate
OCNT-0457419-AA-001,0.0246045281615957,-0.999105886858269,non-substrate,substrate
OCNT-0457420-AA-001,-0.1657024450300561,0.0654598082834185,inconclusive,non-substrate
OCNT-0457422-AA-001,-0.0265655829964855,0.0898851159381483,inconclusive,non-substrate
OCNT-0457426-AA-001,-0.4148109490119729,-0.6006288607707537,substrate,substrate
OCNT-0457465-AA-001,0.0336506144695837,-3.770395516432576,non-substrate,substrate
OCNT-0457529-AA-001,-0.041504099115032,-0.6076679352083227,inconclusive,inconclusive
OCNT-0457554-AA-001,-0.0363887709624071,-3.141135119988088,inconclusive,substrate
OCNT-0457579-AA-001,-0.5146193564457354,-2.523845309856408,substrate,substrate
OCNT-0457613-AA-001,-0.4070843836532682,-2.4256231132694968,substrate,substrate
OCNT-0457615-AA-001,-0.0250728549142484,-1.288031889306732,non-substrate,substrate
OCNT-0457633-AA-001,-0.0540242764075837,-0.4671392529108109,inconclusive,substrate
OCNT-0457635-AA-001,-0.0904873273938208,-2.291104228015599,inconclusive,substrate
OCNT-0457647-AA-001,-0.0295637173089814,-0.0637547526478389,non-substrate,inconclusive
OCNT-0457656-AA-001,-0.200081771937876,-2.282572498211394,substrate,substrate
OCNT-0457658-AA-001,-0.0222459176797344,-3.515171145340896,non-substrate,substrate
OCNT-0457672-AA-001,-0.0825842594972,-3.079397478686159,inconclusive,substrate
OCNT-0457679-AA-001,-0.04645530697731,-0.0220766621832894,non-substrate,non-substrate
OCNT-0457698-AA-001,0.010090682170369,0.0192600294955905,non-substrate,non-substrate
OCNT-0457712-AA-001,-0.0809080421124911,-3.222803705696759,inconclusive,substrate
OCNT-0457715-AA-001,0.0442599226921168,-0.0612415605609455,non-substrate,inconclusive
OCNT-0457736-CN-001,0.0075141707708868,-0.165320869836639,non-substrate,substrate
OCNT-0457739-AA-001,-0.0019926077826885,-3.15669865044816,non-substrate,substrate
OCNT-0457748-AA-001,-0.5611785102398411,0.0785999895683794,substrate,non-substrate
OCNT-0457772-AA-001,-0.7132531913890878,-0.2894249878929882,substrate,substrate
OCNT-0457777-AA-001,0.0508108226490558,-1.239473687109299,non-substrate,substrate
OCNT-0457791-AA-001,-0.01822994112596,0.197727823677844,inconclusive,non-substrate
OCNT-0457802-AA-001,-0.284467978486873,-0.5919030310419493,substrate,substrate
OCNT-0457821-AA-001,0.0287764633154311,-0.2088999685727813,non-substrate,inconclusive
OCNT-0457829-AA-001,-1.502037283613578,-1.2665250922317866,substrate,substrate
OCNT-0457842-AA-001,0.006918287440269,-0.6970071155880888,non-substrate,substrate
OCNT-0457845-AA-001,-0.0451405790004785,-0.2911347716472759,inconclusive,substrate
OCNT-0457878-AA-001,-0.0315430822609332,-0.3774064649295964,non-substrate,substrate
OCNT-0457895-AA-001,-0.0337734929144868,0.0062483622986846,inconclusive,inconclusive
OCNT-0457908-AA-001,-0.0120636319037668,-1.4163003003070784,non-substrate,substrate
OCNT-0457919-AA-001,-0.0481427973050311,-0.0188225533633495,inconclusive,inconclusive
OCNT-0457930-AA-001,0.0749640822658231,-0.0448879507799361,non-substrate,inconclusive
OCNT-0457966-AA-001,-0.1333999688934434,-0.3361929884030767,inconclusive,substrate
OCNT-0457980-AA-001,-0.0375624549360242,-1.6561335672927933,inconclusive,substrate
OCNT-0457982-AA-001,-0.0106206771503964,-0.8761289794322065,non-substrate,substrate
OCNT-0457986-AA-001,0.0991855449639827,-3.4778602041767956,non-substrate,substrate
OCNT-0457992-AA-001,0.021411108413087,-0.5830047708859403,non-substrate,substrate
OCNT-0458015-AA-001,-0.1426867965225857,-0.2825445752381936,inconclusive,substrate
OCNT-0458020-CN-001,-0.0507460015279528,-1.008988424526751,inconclusive,substrate
OCNT-0458025-AA-001,-0.0004601699848885,-0.8376055129970488,non-substrate,substrate
