core,id_i,id_j,sub_i,sub_j,activity_i,se_i,activity_j,se_j,delta_activity,abs_delta,se_diff,p_value,q_value,significant
Clc1ccc(-c2nc3ccc(Cl)cn3c2[*:1])cc1,OCNT-0479450-AA-001,OCNT-0479446-AA-001,c1cc2c(cc1N[*:1])OCO2,c1cc2c(cc1N[*:1])OCCO2,0.1900711563044588,0.0391086719293456,-0.191937105237673,0.1196481191397131,0.3820082615421318,0.3820082615421318,0.12587756207421624,0.002407267124306246,0.0035042133570359216,True
Clc1ccc(-c2nc3ccc(Cl)cn3c2N[*:1])cc1,OCNT-0479450-AA-001,OCNT-0479446-AA-001,c1cc2c(cc1[*:1])OCO2,c1cc2c(cc1[*:1])OCCO2,0.1900711563044588,0.0391086719293456,-0.191937105237673,0.1196481191397131,0.3820082615421318,0.3820082615421318,0.12587756207421624,0.002407267124306246,0.0035042133570359216,True
CC(C)C(=O)N1CCc2c(c([*:1])nn2C)C1,OCNT-0457919-AA-001,OCNT-0463093-AA-001,O=C(NCc1ccc2c(c1)OCO2)[*:1],Clc1ccccc1-c1nnc([*:1])o1,0.0577594775335672,0.0297481954243463,-0.3239569875787671,0.061682932583834,0.3817164651123343,0.3817164651123343,0.06848167129347026,2.4896347289835545e-08,4.430644495871097e-08,True
O=C(Cn1cc(SC[*:1])c2ccccc21)N1CCCC1,OCNT-0456162-AA-001,OCNT-0456158-AA-001,O=C(Nc1ccc2c(c1)OCCO2)[*:1],CCOc1ccccc1NC(=O)[*:1],-3.4720679976922657,0.0395029594593202,-3.8537395420864007,0.1385565058847375,0.381671544394135,0.381671544394135,0.1440777190582638,0.00807143060907547,0.011344509305231289,True
O=C(CSc1cn(CC(=O)N2CCCC2)c2ccccc12)N[*:1],OCNT-0456162-AA-001,OCNT-0456158-AA-001,c1cc2c(cc1[*:1])OCCO2,CCOc1ccccc1[*:1],-3.4720679976922657,0.0395029594593202,-3.8537395420864007,0.1385565058847375,0.381671544394135,0.381671544394135,0.1440777190582638,0.00807143060907547,0.011344509305231289,True
CCc1nn(CC(=O)NCC[*:1])c(=O)c2cc3sccc3n12,OCNT-0454989-AA-001,OCNT-0454987-AA-001,CCCCN(Cc1ccccc1)C[*:1],CCN(Cc1ccccc1)C[*:1],-2.8799829684566625,0.0302362596542205,-3.260375294070621,0.0443513968727855,0.3803923256139585,0.3803923256139585,0.05367753536112449,1.3742650201549914e-12,2.7541576611951382e-12,True
CCc1nn(CC(=O)NCCC[*:1])c(=O)c2cc3sccc3n12,OCNT-0454989-AA-001,OCNT-0454987-AA-001,CCCCN(Cc1ccccc1)[*:1],CCN(Cc1ccccc1)[*:1],-2.8799829684566625,0.0302362596542205,-3.260375294070621,0.0443513968727855,0.3803923256139585,0.3803923256139585,0.05367753536112449,1.3742650201549914e-12,2.7541576611951382e-12,True
CCc1nn(CC(=O)NCCCN(Cc2ccccc2)[*:1])c(=O)c2cc3sccc3n12,OCNT-0454989-AA-001,OCNT-0454987-AA-001,CCCC[*:1],CC[*:1],-2.8799829684566625,0.0302362596542205,-3.260375294070621,0.0443513968727855,0.3803923256139585,0.3803923256139585,0.05367753536112449,1.3742650201549914e-12,2.7541576611951382e-12,True
CCc1nn(CC(=O)NCCCN(Cc2ccccc2)C[*:1])c(=O)c2cc3sccc3n12,OCNT-0454989-AA-001,OCNT-0454987-AA-001,CCC[*:1],C[*:1],-2.8799829684566625,0.0302362596542205,-3.260375294070621,0.0443513968727855,0.3803923256139585,0.3803923256139585,0.05367753536112449,1.3742650201549914e-12,2.7541576611951382e-12,True
Cc1nc2c3cccnc3nn2c(C)c1CC[*:1],OCNT-0479405-AA-001,OCNT-0479377-AA-001,COc1ccc(OC)c(NC(=O)[*:1])c1,COc1cc(NC(=O)[*:1])cc(OC)c1,-0.836049613291979,0.0353219536512953,-0.4566273126664875,0.0343030534152719,-0.37942230062549154,0.37942230062549154,0.04923758608375567,1.298750419691683e-14,2.7326244858001272e-14,True
Cc1nc2c3cccnc3nn2c(C)c1CCC(=O)N[*:1],OCNT-0479405-AA-001,OCNT-0479377-AA-001,COc1ccc(OC)c([*:1])c1,COc1cc(OC)cc([*:1])c1,-0.836049613291979,0.0353219536512953,-0.4566273126664875,0.0343030534152719,-0.37942230062549154,0.37942230062549154,0.04923758608375567,1.298750419691683e-14,2.7326244858001272e-14,True
CC(C)Cc1nn2c(=O)cc(COC(=O)c3cccc(NC(=O)[*:1])c3)nc2s1,OCNT-0481962-AA-001,OCNT-0481958-AA-001,c1ccc(CC[*:1])cc1,COc1ccccc1[*:1],0.0872303420628179,0.062749474753313,0.4616259827584326,0.0566746205476188,-0.3743956406956147,0.3743956406956147,0.08455477039193732,9.517809189167174e-06,1.5537077442222865e-05,True
CC(C)Cc1nn2c(=O)cc(COC(=O)c3cccc([*:1])c3)nc2s1,OCNT-0481962-AA-001,OCNT-0481958-AA-001,O=C(CCc1ccccc1)N[*:1],COc1ccccc1C(=O)N[*:1],0.0872303420628179,0.062749474753313,0.4616259827584326,0.0566746205476188,-0.3743956406956147,0.3743956406956147,0.08455477039193732,9.517809189167174e-06,1.5537077442222865e-05,True
Cn1nc(-c2ccccc2F)c2cc(C(=O)N3CCN([*:1])CC3)sc21,OCNT-0479163-AA-001,OCNT-0479187-AA-001,COc1ccccc1[*:1],c1ccc([*:1])nc1,-0.8148102551107783,0.0420248442460132,-0.4412040321413926,0.0299122016965108,-0.3736062229693857,0.3736062229693857,0.05158320796765564,4.3955477131906794e-13,8.95579121913205e-13,True
O=C(CC1Oc2ccccc2NC1=O)NCC[*:1],OCNT-0454899-AA-001,OCNT-0454903-AA-001,CCN(Cc1ccccc1)C[*:1],CC(C)N(Cc1ccccc1)C[*:1],-0.3749171491514262,0.0241952026515326,-0.7483552622542655,0.0343698808069134,0.3734381131028393,0.3734381131028393,0.04203208938454243,6.415374611805051e-19,1.525599774060929e-18,True
O=C(CC1Oc2ccccc2NC1=O)NCCCN(Cc1ccccc1)[*:1],OCNT-0454899-AA-001,OCNT-0454903-AA-001,CC[*:1],CC(C)[*:1],-0.3749171491514262,0.0241952026515326,-0.7483552622542655,0.0343698808069134,0.3734381131028393,0.3734381131028393,0.04203208938454243,6.415374611805051e-19,1.525599774060929e-18,True
O=C(CC1Oc2ccccc2NC1=O)NCCC[*:1],OCNT-0454899-AA-001,OCNT-0454903-AA-001,CCN(Cc1ccccc1)[*:1],CC(C)N(Cc1ccccc1)[*:1],-0.3749171491514262,0.0241952026515326,-0.7483552622542655,0.0343698808069134,0.3734381131028393,0.3734381131028393,0.04203208938454243,6.415374611805051e-19,1.525599774060929e-18,True
O=C(CC1Oc2ccccc2NC1=O)NC[*:1],OCNT-0454899-AA-001,OCNT-0454903-AA-001,CCN(CC[*:1])Cc1ccccc1,CC(C)N(CC[*:1])Cc1ccccc1,-0.3749171491514262,0.0241952026515326,-0.7483552622542655,0.0343698808069134,0.3734381131028393,0.3734381131028393,0.04203208938454243,6.415374611805051e-19,1.525599774060929e-18,True
O=C(NCCC[*:1])C1Cc2ccccc2N1C(=O)c1ccccc1,OCNT-0460167-AA-001,OCNT-0460165-AA-001,CCCN1CCN([*:1])CC1,c1ccc(N2CCN([*:1])CC2)cc1,-0.5518721141250147,0.0364046926060617,-0.9226719752683916,0.049138595855508,0.37079986114337693,0.37079986114337693,0.061154748355240506,1.333528482222105e-09,2.4388222690564206e-09,True
O=C(NCC[*:1])C1Cc2ccccc2N1C(=O)c1ccccc1,OCNT-0460167-AA-001,OCNT-0460165-AA-001,CCCN1CCN(C[*:1])CC1,c1ccc(N2CCN(C[*:1])CC2)cc1,-0.5518721141250147,0.0364046926060617,-0.9226719752683916,0.049138595855508,0.37079986114337693,0.37079986114337693,0.061154748355240506,1.333528482222105e-09,2.4388222690564206e-09,True
O=C(NCCCN1CCN([*:1])CC1)C1Cc2ccccc2N1C(=O)c1ccccc1,OCNT-0460167-AA-001,OCNT-0460165-AA-001,CCC[*:1],c1ccc([*:1])cc1,-0.5518721141250147,0.0364046926060617,-0.9226719752683916,0.049138595855508,0.37079986114337693,0.37079986114337693,0.061154748355240506,1.333528482222105e-09,2.4388222690564206e-09,True
CC1CCn2c(nc3cc(C(=O)N[*:1])ccc32)C1,OCNT-0482582-AA-001,OCNT-0482578-AA-001,Cc1ccccc1C[*:1],COc1ccc(C[*:1])cc1OC,-0.4010729117308598,0.0292578986426453,-0.0326244306644349,0.0422678420801153,-0.3684484810664249,0.3684484810664249,0.051406177713314495,7.643716608254996e-13,1.5394382337777756e-12,True
