ocnt_batch,enzyme,mean,std,size,cv
OCNT-0454884-AA-001,CYP3A4,22090.0,819.7323750265489,4,0.03710875396227021
OCNT-0454889-AA-001,CYP2J2,89627.0,3587.4109745051496,4,0.040026007503376766
OCNT-0454889-AA-001,CYP3A4,145968.375,10942.870550994985,4,0.07496740681668193
OCNT-0454890-AA-001,CYP2J2,5449.0,376.05008531665914,4,0.06901267853122758
OCNT-0454890-AA-001,CYP3A4,6117.625,843.2096788462522,4,0.1378328483433117
OCNT-0454892-AA-001,CYP2J2,96849.75,3356.6670100959777,4,0.03465849948085543
OCNT-0454892-AA-001,CYP3A4,153096.625,20750.064005423374,4,0.1355357376782367
OCNT-0454895-AA-001,CYP2J2,19956.375,4626.731358367373,4,0.23184227387826561
OCNT-0454895-AA-001,CYP3A4,27146.0,5775.8498508877465,4,0.21276983168377464
OCNT-0454897-AA-001,CYP2J2,132347.25,3497.7867645126703,4,0.02642885866168485
OCNT-0454897-AA-001,CYP3A4,178168.0,19744.79369774895,4,0.11082121198952086
OCNT-0454899-AA-001,CYP2J2,67554.25,8626.858278075511,4,0.12770267271230917
OCNT-0454899-AA-001,CYP3A4,124577.5,7991.961409232823,4,0.06415252681449558
OCNT-0454901-AA-001,CYP2J2,58620.625,2789.676754721473,4,0.0475886559503839
OCNT-0454901-AA-001,CYP3A4,106175.25,5296.643693573004,4,0.049885860344788494
OCNT-0454902-AA-001,CYP2J2,110177.0,16398.891268416086,4,0.14884133048109938
OCNT-0454902-AA-001,CYP3A4,177019.16666666666,14010.47601201805,3,0.0791466612109878
OCNT-0454903-AA-001,CYP2J2,66288.25,5289.271161196661,4,0.07979198668235563
OCNT-0454903-AA-001,CYP3A4,129118.75,13450.653717075116,4,0.10417273801887887
OCNT-0454906-AA-001,CYP2J2,5440.0,791.7404877862442,3,0.1455405308430596
OCNT-0454906-AA-001,CYP3A4,336676.6666666667,6017.712383732978,3,0.017873862312207493
OCNT-0454910-AA-001,CYP2J2,73280.625,13917.886791074521,4,0.1899258745551709
OCNT-0454910-AA-001,CYP3A4,404859.375,19658.932517539368,4,0.048557434337637276
OCNT-0454912-AA-001,CYP2J2,49907.75,3078.344211314475,4,0.06168068509028107
OCNT-0454912-AA-001,CYP3A4,84482.0,6373.471385359789,4,0.07544176730380187
OCNT-0454916-AA-001,CYP2J2,92062.75,5043.466838395986,4,0.05478292619323218
OCNT-0454916-AA-001,CYP3A4,109583.75,11737.251222070692,4,0.10710758868966148
OCNT-0454918-AA-001,CYP2J2,47633.666666666664,1135.5038896161172,3,0.02383826333509459
OCNT-0454918-AA-001,CYP3A4,108456.5,15632.189010180244,3,0.14413326089427783
OCNT-0454921-AA-001,CYP2J2,237631.5,18317.23248291983,4,0.07708251003305466
OCNT-0454921-AA-001,CYP3A4,433957.125,15402.590465973573,4,0.03549334618246808
OCNT-0454922-AA-001,CYP2J2,62875.625,3604.190440191343,4,0.057322538586158676
OCNT-0454922-AA-001,CYP3A4,82864.5,6421.5168119897235,4,0.07749418402319115
OCNT-0454929-AA-001,CYP2J2,65514.25,4993.795976008631,4,0.07622457672962189
OCNT-0454929-AA-001,CYP3A4,103469.875,9314.376105202467,4,0.09002017355488703
OCNT-0454931-AA-001,CYP2J2,180579.125,8478.419235280047,4,0.04695126989501166
OCNT-0454931-AA-001,CYP3A4,200582.75,7495.765832566187,4,0.03736994249289227
OCNT-0454932-AA-001,CYP2J2,163362.25,13559.446132370844,4,0.08300232233806062
OCNT-0454932-AA-001,CYP3A4,177323.0,18311.098724544085,4,0.10326409278291077
